Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
Poly(rC)-binding protein 2;Poly(rC)-binding protein 3,PCBP2;PCBP3,Q15366;Q15366-4;Q15366-5;B4DRD7;H3BRU6;F8VWQ4;F8VZX2;B4DXP5;F8VRG9;G3V0E8;Q15366-3;Q15366-2;B4DLC0;P57721;F8W0G4;F8VXH9;H3BSS4;H9KV40;E9PFP8;P57721-2;P57721-3;P57721-5;P57721-4,7.50,14.8,4,,,,,3.54,0.000
Polyadenylate-binding protein 1;Polyadenylate-binding protein 3;Polyadenylate-binding protein 5;Polyadenylate-binding protein 1-like,PABPC1;PABPC3;PABPC5;PABPC1L,P11940;E7EQV3;P11940-2;Q9H361;Q96DU9;Q4VXU2;H0YC10;E5RGH3;E5RH24;E5RJB9;H0YAS7;H0YAS6;H0YB75;Q4VY17;E7ERJ7,6.71,1.4,1,,,,,3.28,0.000
Polymeric immunoglobulin receptor;Secretory component,PIGR,P01833,8.75,12.8,8,,,,,4.40,0.000
Polypyrimidine tract-binding protein 1,PTBP1,P26599;P26599-2;P26599-3,7.44,7.0,3,,,,,NaN,0.000
Polyubiquitin-B;Ubiquitin;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-C;Ubiquitin,UBB;RPS27A;UBA52;UBC,P0CG47;P62979;P62987;F5H6Q2;F5GYU3;F5H2Z3;F5H265;F5H7Y5;B4DV12;F5H388;F5H747;F5GXK7;Q96C32;F5H7K6;F5H041;P0CG48;F5H4D8,8.78,44.5,3,,,,,NaN,0.000
Pre-B-cell leukemia transcription factor-interacting protein 1,PBXIP1,Q96AQ6;F5H6Z1;B4E1J0;F5H2F6;Q96AQ6-3;Q96AQ6-2,8.54,1.5,1,,,,,NaN,0.003
Prefoldin subunit 2,PFDN2,Q9UHV9,7.03,7.8,1,,,,,NaN,0.001
Pregnancy zone protein,PZP,P20742;P20742-2,7.56,9.2,12,,,,,7.49,0.000
Prelamin-A/C;Lamin-A/C,LMNA,P02545;P02545-3;P02545-2;Q6UYC3;Q5TCJ4;Q3BDU5;D6RAQ3;E7EUI9;Q5TCI8,8.30,19.9,12,,,,,3.88,0.000
Pre-mRNA-processing factor 19,PRPF19,Q9UMS4;H0YGF3;F5GY56,6.71,2.8,1,,,,,NaN,0.002
Pre-mRNA-splicing factor SYF2,SYF2,O95926,6.13,11.5,1,,,,,NaN,0.000
Prenylcysteine oxidase 1,PCYOX1,Q9UHG3;B7Z3Y2;B7Z9P8;F8W8W4,8.77,12.7,6,,,,,4.73,0.000
Probable G-protein coupled receptor 116,GPR116,Q8IZF2;E9PBS6;Q8IZF2-3;Q8IZF2-2;H0YFX7;F5GWK9,7.63,3.1,3,,,,,4.08,0.000
Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,CTSH,P09668;E9PBP2,7.50,6.6,2,,,,,5.11,0.000
Procollagen C-endopeptidase enhancer 1,PCOLCE,Q15113,7.85,9.4,3,,,,,5.04,0.000
Profilin-1,PFN1,P07737,8.25,36.4,5,,,,,5.11,0.000
Programmed cell death protein 6,PDCD6,O75340;H0Y9X3;Q2YDC2,8.72,5.8,1,,,,,NaN,0.001
Prohibitin,PHB,P35232;C9JW96;D6RBK0;C9JZ20;E7ESE2;E9PCW0;B4DY47,8.00,8.5,2,,,,,NaN,0.000
Prolactin-inducible protein,PIP,P12273,6.56,8.2,1,,,,,4.34,0.000
Proliferating cell nuclear antigen,PCNA,P12004,7.11,8.8,3,,,,,NaN,0.000
Proliferation-associated protein 2G4,PA2G4,Q9UQ80;F8VTY8;H0Y3X3;F8VR77;F8VRZ3,7.34,7.9,3,,,,,3.45,0.000
Proline-rich acidic protein 1,PRAP1,Q96NZ9-3;Q96NZ9;H7BY64,6.86,5.3,1,,,,,NaN,0.000
Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain,LRP1,Q07954,8.07,2.4,10,,,,,6.73,0.000
Properdin,CFP,P27918;E9PAQ1,8.05,6.6,3,,,,,5.52,0.000
Proprotein convertase subtilisin/kexin type 9,PCSK9,Q8NBP7,8.21,8.7,5,,,,,4.91,0.000
Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,P07602;C9JIZ6;F8W6Z6;B1AVU8;P07602-2;P07602-3;F5H0X6;Q5BJH1,6.87,4.6,2,,,,,4.52,0.000
Prostaglandin-H2 D-isomerase,PTGDS,P41222;H0Y5A1;F8W7I2;Q5SQ11,8.77,16.3,3,,,,,7.08,0.000
Proteasomal ubiquitin receptor ADRM1,ADRM1,Q16186;E9PEC0,6.39,3.9,1,,,,,NaN,0.002
Proteasome subunit alpha type-1;Proteasome subunit alpha type,PSMA1,P25786;P25786-2;B4DEV8;F5GX11,NaN,6.8,2,,,,,3.92,0.000
Proteasome subunit alpha type-3,PSMA3,P25788;P25788-2;G3V4X5,5.83,3.1,1,,,,,4.04,0.000
Proteasome subunit alpha type-4;Proteasome subunit alpha type;Proteasome subunit beta type,PSMA4,P25789;H0YMZ1;H0YN18;H0YL69;H0YLS6;H0YLC2;H0YKT8;H0YMI6;H0YMA1;P25789-2,7.80,3.1,1,,,,,4.04,0.000
Proteasome subunit alpha type-5,PSMA5,P28066;B4E2V4,6.35,7.9,1,,,,,3.89,0.000
Proteasome subunit alpha type-6;Proteasome subunit alpha type,PSMA6,P60900;G3V295;G3V5Z7;G3V3U4;G3V3I1;B4DXJ9,6.85,4.9,1,,,,,4.23,0.000
Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like,PSMA7;PSMA8,O14818;O14818-2;H0Y586;Q8TAA3;Q8TAA3-2;F5GY34;F5H3G5;Q8TAA3-5,7.12,21.0,4,,,,,3.97,0.000
Proteasome subunit beta type-2,PSMB2,P49721,6.91,9.0,2,,,,,3.86,0.000
Proteasome subunit beta type-5,PSMB5,P28074;E9PAV2,6.05,4.6,1,,,,,3.70,0.000
Proteasome subunit beta type-6,PSMB6,P28072,NaN,4.2,1,,,,,3.54,0.002
Proteasome subunit beta type-7,PSMB7,Q99436,6.77,4.7,2,,,,,3.68,0.000
Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,AMBP,P02760;B7Z8R6,9.63,32.7,8,,,,,7.68,0.000
Protein disulfide-isomerase,P4HB,P07237;E7EPA8;I3L2P8;F5H8J2;B4DUA5;H7BZ94;H0Y3Z3,8.21,28.0,12,,,,,4.36,0.000
Protein disulfide-isomerase A3;Protein disulfide-isomerase,PDIA3,P30101;B3KQT9;G5EA52;F5H119,8.02,15.2,6,,,,,4.51,0.000
Protein disulfide-isomerase A4,PDIA4,P13667,7.36,12.2,7,,,,,3.81,0.000
Protein disulfide-isomerase A6,PDIA6,Q15084;B7Z254;F8WA83;B5MCQ5;Q15084-2,7.30,5.7,2,,,,,3.60,0.000
Protein DJ-1,PARK7,Q99497,7.52,16.4,3,,,,,4.36,0.000
Protein HEG homolog 1,HEG1,Q9ULI3;Q9ULI3-2,7.73,2.6,3,,,,,3.82,0.000
Protein lin-7 homolog C;Protein lin-7 homolog A,LIN7C;LIN7A,Q9NUP9;O14910;H0YI92;H0YIA8,6.79,8.1,1,,,,,NaN,0.000
Protein MENT,MENT,Q9BUN1,7.48,6.7,2,,,,,NaN,0.000
"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",POMGNT1,Q8WZA1;F5H827;Q5VST3,6.45,1.8,1,,,,,NaN,0.000
Protein phosphatase 1 regulatory subunit 21,PPP1R21,Q6ZMI0;Q6ZMI0-3;Q6ZMI0-2,NaN,1.2,1,,,,,NaN,0.001
"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,P31949,7.67,17.1,2,,,,,4.26,0.003
Protein S100-A16,S100A16,Q96FQ6,6.37,11.7,1,,,,,NaN,0.003
Protein S100-A4,S100A4,P26447;F5H3J5,6.67,27.7,3,,,,,3.51,0.000
Protein S100-A6,S100A6,P06703,7.88,18.9,2,,,,,4.45,0.000
"Protein S100-A8;Protein S100-A8, N-terminally processed",S100A8,P05109,7.84,39.8,4,,,,,5.43,0.000
Protein S100-A9,S100A9,P06702,8.43,37.7,3,,,,,6.28,0.000
Protein S100-P,S100P,P25815,6.43,13.7,1,,,,,3.86,0.001
Protein SET,SET,Q01105;Q01105-2;B2REB8;A6NGV1;Q5VXV2,7.90,16.9,4,,,,,NaN,0.000
Protein Z-dependent protease inhibitor,SERPINA10,Q9UK55;G3V2W1,9.45,31.5,12,,,,,5.99,0.000
Protein-glutamine gamma-glutamyltransferase E;Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain;Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain,TGM3,Q08188;E7ERY7,6.42,1.9,1,,,,,3.38,0.000
Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase,PCMT1,P22061;B7Z972;H7BY58;P22061-2,6.39,5.7,1,,,,,3.59,0.000
Proteoglycan 4;Proteoglycan 4 C-terminal part,PRG4,Q92954-6;Q92954;Q92954-4;Q92954-3;Q92954-2;Q92954-5;E7EQ48,9.21,7.5,10,,,,,5.41,0.000
Proteolipid protein 2,PLP2,Q04941,7.09,8.6,1,,,,,NaN,0.002
Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain,F2,P00734;E9PIT3,10.49,23.2,14,,,,,7.09,0.000
"Prothymosin alpha;Prothymosin alpha, N-terminally processed;Thymosin alpha-1",PTMA,P06454;P06454-2;B8ZZQ6;B8ZZA1;B8ZZW7;H7C2N1,7.44,21.6,2,,,,,3.86,0.000
Protocadherin Fat 4,FAT4,Q6V0I7;Q6V0I7-3,6.68,0.2,1,,,,,NaN,0.003
Protocadherin-12,PCDH12,Q9NPG4,8.14,3.5,4,,,,,NaN,0.000
Protocadherin-18,PCDH18,Q9HCL0;Q9HCL0-2,6.26,0.9,1,,,,,NaN,0.000
P-selectin,SELP,P16109;Q5R343;Q5R342;H0Y416;Q5R348;Q5R345;Q5R341;G3V1U2;Q5R349,6.40,1.0,1,,,,,4.82,0.001
PTB domain-containing engulfment adapter protein 1,GULP1,Q9UBP9;E9PB86;H7BZV7;B8ZZ72,7.25,6.9,2,,,,,4.08,0.009
Purine nucleoside phosphorylase,PNP,P00491,6.96,3.8,1,,,,,3.96,0.000
Putative heat shock protein HSP 90-beta 2,HSP90AB2P,Q58FF8,8.01,15.0,6,,,,,NaN,0.000
Putative sodium-coupled neutral amino acid transporter 10,SLC38A10,Q9HBR0;H0YF92;Q9HBR0-3;I3L0Q8,5.65,1.3,1,,,,,3.52,0.000
Putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8,IGHV4OR15-8,A6NJ16,8.40,13.0,2,,,,,NaN,0.005
"Pyrroline-5-carboxylate reductase 1, mitochondrial",PYCR1,P32322;A6NFM2;B4DMU0,6.13,3.4,1,,,,,NaN,0.006
"Pyruvate carboxylase, mitochondrial",PC,P11498,7.89,2.3,3,,,,,NaN,0.000
Pyruvate kinase PKM;Pyruvate kinase,PKM,P14618;E9PF79;P14618-3;H3BQ34,8.55,31.8,13,,,,,3.40,0.000
Pyruvate kinase PKM;Pyruvate kinase,PKM;PKM2,P14618-2;H3BTN5;Q504U3;E7EUJ4,NaN,28.6,12,,,,,3.40,0.007
Rab GDP dissociation inhibitor alpha,GDI1,P31150;B4DHX4,NaN,1.8,1,,,,,4.46,0.001
Rab GDP dissociation inhibitor beta,GDI2,P50395;E7EU23;P50395-2,7.03,4.5,2,,,,,4.46,0.000
Ras GTPase-activating protein-binding protein 1,G3BP1,Q13283;F5H4D6;F8W7N6,6.77,4.5,2,,,,,NaN,0.001
Ras GTPase-activating-like protein IQGAP1,IQGAP1,P46940;H0YLE8,7.39,1.1,2,,,,,NaN,0.000
Ras-related protein Rab-10;Ras-related protein Rab-8A;Ras-related protein Rab-13;Ras-related protein Rab-8B;Ras-related protein Rab-15;Putative Ras-related protein Rab-1C,RAB10;RAB8A;RAB13;RAB8B;RAB15;RAB1C;RAB1B,P61026;P61006;P51153;Q92930;P59190;Q92928;P59190-2;H0YLJ8;H0YL94;H0YMN7;E9PLD0;H0YNE9;F5GY21,NaN,5.5,1,,,,,NaN,0.008
Ras-related protein Rab-1A;Ras-related protein Rab-1B,RAB1A;RAB1B,P62820;E7END7;Q9H0U4;E7ETK2;E7EWA5;B7Z8M7;P62820-3;P62820-2,7.00,11.2,2,,,,,NaN,0.000
Ras-related protein Rab-5C;Ras-related protein Rab-5A;Ras-related protein Rab-5B,RAB5C;RAB5A;RAB5B,P51148;F8W1H5;P20339;P61020;F8VWU4;F8VVZ0;F8VUA5;F8VVK3;B4DKD7;B4DJA5,NaN,5.6,1,,,,,NaN,0.002
Receptor expression-enhancing protein 5,REEP5,Q00765;E2QRG8,7.75,9.5,2,,,,,NaN,0.000
Receptor-type tyrosine-protein phosphatase beta,PTPRB;IGFL2,P23467-3;F8VU56;P23467;F8VSD5;P23467-2;F5H3G6;F5H0Y4;Q6ZR19,7.48,0.4,1,,,,,NaN,0.000
Receptor-type tyrosine-protein phosphatase eta,PTPRJ,Q12913;Q9NPR5;Q12913-2,8.47,8.2,7,,,,,4.00,0.000
Receptor-type tyrosine-protein phosphatase F,PTPRF,P10586;P10586-2;H0Y6Z7;H0Y7Z9;F2Z3B8,7.72,3.3,5,,,,,4.54,0.000
Receptor-type tyrosine-protein phosphatase gamma,PTPRG,P23470;P23470-2,7.97,1.9,2,,,,,3.69,0.000
Receptor-type tyrosine-protein phosphatase mu,PTPRM,P28827;E7EPS8;F8WA38;E7EVX9,7.55,2.9,3,,,,,4.67,0.000
Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332-6;Q13332-2;Q13332;G8JL96;F8W9T5;F8W846;E9PDC5;Q13332-3;Q13332-4;F5H2T4;H0YG31;Q13332-7;F8W800;Q13332-5,7.01,0.9,2,,,,,3.81,0.000
Reelin,RELN,P78509;P78509-3;P78509-2;F8WF74,NaN,0.3,1,,,,,NaN,0.000
Regulator of chromosome condensation,RCC1,P18754;P18754-2;H7C497;C9JRH2;C9JMJ4;C9J3R0;C9JQZ4;C9JW69,6.37,4.5,1,,,,,NaN,0.000
Repulsive guidance molecule A,RGMA,Q96B86;F5H7G2;F5GZU6;G3V518;Q96B86-2,6.74,2.4,1,,,,,NaN,0.005
Reticulocalbin-1,RCN1,Q15293;B7Z1M1;E9PNT6;E9PJD5,7.73,4.8,2,,,,,NaN,0.003
Reticulon-4 receptor-like 2,RTN4RL2,Q86UN3;G3V1D7;Q0GGW3,6.50,1.9,1,,,,,NaN,0.000
Retinal dehydrogenase 1,ALDH1A1,P00352;H0Y4S2,8.16,5.4,3,,,,,5.08,0.000
Retinoic acid receptor responder protein 2,RARRES2,Q99969;C9J8S2,8.32,17.8,2,,,,,5.76,0.000
Retinol dehydrogenase 11,RDH11,Q8TC12;H0YJ10;H0YIZ8;G3V2G6;G3V234;H0YJ46;Q8TC12-2,6.06,4.1,1,,,,,NaN,0.007
Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),RBP4,P02753;Q5VY30;A6NCP9,9.70,39.3,6,+,+,,,8.76,0.000
Rho GDP-dissociation inhibitor 1,ARHGDIA,P52565;A8MXW0,6.58,4.9,1,,,,,4.04,0.000
Rho GTPase-activating protein 26,ARHGAP26,C9J6V4;Q9UNA1;Q9UNA1-2,6.41,9.9,1,,,,,NaN,0.003
Ribonuclease 4,RNASE4,P34096,7.85,29.3,3,,,,,3.74,0.000
Ribonuclease inhibitor,RNH1,P13489;E9PMJ3;E9PLZ3;E9PIM9,6.82,3.3,1,,,,,4.63,0.000
Ribonuclease T2,RNASET2,O00584;D6REQ6;D6RHI9;C9JIU8;H0YAE9,6.77,4.7,1,,,,,4.36,0.000
Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,P16083;Q5TD05;Q59EN2;Q5TD07;A2A2U4,6.82,3.9,1,,,,,3.49,0.000
RNA-binding protein 39,RBM39;RNPC2,Q14498;H0Y4X3;E1P5S2;G3XAC6;Q14498-3;Q14498-2,NaN,1.9,1,,,,,NaN,0.005
Roundabout homolog 4,ROBO4,Q8WZ75;Q8WZ75-2;F8W857;Q8WZ75-3;B4DYV8,7.71,2.3,3,,,,,NaN,0.000
"rRNA methyltransferase 1, mitochondrial",MRM1,Q6IN84,7.56,4.2,2,,,,,NaN,0.009
Sacsin,SACS,Q9NZJ4;Q9NZJ4-2,NaN,0.2,1,,,,,NaN,0.008
S-adenosylmethionine synthase isoform type-1,MAT1A,Q00266,6.35,2.3,1,,,,,NaN,0.002
Scavenger receptor cysteine-rich type 1 protein M130;Soluble CD163,CD163,Q86VB7;Q86VB7-3;F5GZZ9;C9JHR8;Q86VB7-4;Q86VB7-2,7.88,4.7,5,,,,,4.97,0.000
Secreted phosphoprotein 24,SPP2,Q13103,8.35,13.3,3,,,,,5.90,0.000
Seizure 6-like protein,SEZ6L,Q9BYH1;B0QYH4;B0QYH5;Q9BYH1-2;Q9BYH1-3;Q9BYH1-5;Q9BYH1-4;G8JLP3;Q9BYH1-6,6.48,0.9,1,,,,,NaN,0.002
Selenium-binding protein 1,SELENBP1,Q13228;Q13228-2;B4E1F3;A6PVW9,NaN,2.5,1,,,,,4.94,0.000
Selenoprotein P,SEPP1,P49908;D6REX5;D6RIS9,9.00,8.4,4,,,,,5.71,0.000
Semaphorin-4B,SEMA4B,Q9NPR2-2;Q9NPR2;H0YMZ3,7.24,1.2,1,,,,,NaN,0.000
Seprase,FAP,Q12884;B4DLR2,6.68,2.6,2,,,,,3.30,0.000
Serine protease HTRA1,HTRA1,Q92743;E7ESJ0;H0Y7G9,7.09,2.1,1,,,,,NaN,0.000
Serine protease inhibitor Kazal-type 5;Hemofiltrate peptide HF6478;Hemofiltrate peptide HF7665,SPINK5,Q9NQ38-3;Q9NQ38,6.78,0.6,1,,,,,5.32,0.001
Serine/arginine-rich splicing factor 1,SRSF1,Q07955,6.90,4.0,1,,,,,NaN,0.010
Serine/arginine-rich splicing factor 10,SRSF10,O75494;O75494-3;O75494-4;Q5JRI1;O75494-5;Q5JRI3;O75494-2,7.63,4.6,1,,,,,NaN,0.000
Serine/arginine-rich splicing factor 3,SRSF3,P84103;B4E241,6.85,5.5,1,,,,,NaN,0.007
Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit;Serine/threonine-protein phosphatase,PPP1CB;PPP1CA;PPP1CC,P62140;P62136;P36873;C9J9S3;C9JP48;E7ETD8;E9PMD7;F8VR82;F8VYE8;F8W0W8;E9PDP1;A6NNR3;P36873-2;P62136-2,7.04,4.9,1,,,,,NaN,0.000
Serine-threonine kinase receptor-associated protein,STRAP,Q9Y3F4;B0AZV0;B4DNJ6;H0YH33,NaN,3.4,1,,,,,NaN,0.001
Serotransferrin,TF,P02787,11.70,63.9,50,+,+,,,9.14,0.000
Serpin A11,SERPINA11,Q86U17,7.44,5.9,3,,,,,3.83,0.000
Serpin B12,SERPINB12,Q96P63;Q3SYB4,NaN,2.5,1,,,,,NaN,0.000
Serpin B3,SERPINB3,P29508;P29508-2,6.15,3.1,1,,,,,3.79,0.000
Serpin B5,SERPINB5,P36952,7.52,10.7,3,,,,,NaN,0.000
Serum albumin,ALB,P02768;CON__P02768-1;E7ESU5;B7WNR0;H0YA55;D6RHD5;Q8IUK7;C9JKR2;P02768-2,12.38,86.4,71.00001,+,+,,,9.20,0.000
Serum amyloid A-1 protein;Amyloid protein A;Serum amyloid protein A(2-104);Serum amyloid protein A(3-104);Serum amyloid protein A(2-103);Serum amyloid protein A(2-102);Serum amyloid protein A(4-101);Serum amyloid A protein,SAA1,P0DJI8;E9PQD6,9.04,59.8,6,,,,,6.59,0.000
Serum amyloid A-2 protein,SAA2,P0DJI9,NaN,30.3,3,,,,,6.74,0.000
Serum amyloid A-4 protein,SAA4,P35542,9.68,39.2,5,,,,,7.48,0.000
Serum amyloid P-component;Serum amyloid P-component(1-203),APCS,P02743,10.42,40.8,11,,,,,6.70,0.000
Serum paraoxonase/arylesterase 1,PON1,P27169;F5H4W9,10.70,65.9,14,,,,,6.89,0.000
Serum paraoxonase/arylesterase 2,PON2,Q15165;G3V1K3;Q15165-3;Q15165-1,6.77,2.5,1,,,,,NaN,0.002
Serum paraoxonase/lactonase 3,PON3,Q15166;F8WD41;C9JZ99,9.10,26.6,8,,,,,4.80,0.000
Sex hormone-binding globulin,SHBG,P04278;I3L145;I3L1N7;I3L1J1;B4DYU0;I3L2X4;B0FWH4;E9PGW1;P04278-2;F5H5Z8,8.98,19.4,7,+,+,,,5.26,0.000
S-formylglutathione hydrolase,ESD,P10768;H7BZT7,6.91,4.3,1,,,,,4.11,0.000
SHC-transforming protein 1,SHC1,P29353;P29353-2;P29353-7;P29353-6;Q5T181;Q5T182;B4DL02,6.53,1.7,1,,,,,NaN,0.001
Signal recognition particle 14 kDa protein,SRP14,P37108;H0YLW0;H0YLA2,6.67,14.7,2,,,,,NaN,0.005
Signal recognition particle subunit SRP68,SRP68,Q9UHB9;Q96K98;F5H5Y3;E7ETK6;B3KUU5;G3V1U4;Q9UHB9-2,6.99,2.4,1,,,,,NaN,0.001
"Single-stranded DNA-binding protein, mitochondrial",SSBP1,Q04837;C9K0U8;E7EUY5,7.67,6.1,1,,,,,NaN,0.006
Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,SUMO2;SUMO3;SUMO4,P61956;H7BZT4;P61956-2;P55854;Q6EEV6;A8MUA9;A8MU27;B4DUW4,7.57,23.2,2,,,,,3.90,0.000
Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,P05023;B7Z3U6;F5H3A1;P05023-2;H7BXX5,8.23,2.6,2,,,,,NaN,0.000
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,A1L4H1;F5GZN4;A1L4H1-2,7.50,1.1,2,,,,,NaN,0.000
SPARC-like protein 1,SPARCL1,Q14515;B4E2Z0,8.56,14.3,8,,,,,4.72,0.000
Splicing factor U2AF 35 kDa subunit;Splicing factor U2AF 26 kDa subunit,U2AF1;U2AF1L4,Q01081;Q8WU68;Q01081-3;Q8WU68-3;Q8WU68-2;Q01081-2,6.75,5.0,1,,,,,NaN,0.000
"Splicing factor, proline- and glutamine-rich",SFPQ,P23246;P23246-2,7.22,2.7,1,,,,,NaN,0.000
Spondin-2,SPON2,Q9BUD6;D6RB12,7.08,2.7,1,,,,,NaN,0.008
Staphylococcal nuclease domain-containing protein 1,SND1,Q7KZF4;E7ESM6;H7C597,7.09,3.3,3,,,,,NaN,0.000
"Stress-70 protein, mitochondrial",HSPA9,P38646;B7Z4V2;F5H3L8,8.11,19.7,11,,,,,3.40,0.000
Stress-induced-phosphoprotein 1,STIP1,P31948;F5H0T1;G3XAD8,7.81,10.9,6,,,,,3.26,0.000
"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,P53597,8.50,6.9,2,,,,,3.45,0.000
Sulfhydryl oxidase 1,QSOX1,O00391;O00391-2,9.38,24.9,15,,,,,5.18,0.000
Superoxide dismutase [Cu-Zn],SOD1,P00441;H7BYH4,7.93,7.8,1,,,,,5.78,0.000
"Superoxide dismutase [Mn], mitochondrial",SOD2,P04179;F5H4R2;F5GYZ5;B4E3K9;B3KUK2;F5H3C5;P04179-2,7.38,9.9,2,,,,,3.85,0.000
Suprabasin,SBSN,E9PBV3;Q6UWP8,7.26,10.2,4,,,,,3.65,0.000
Synaptic vesicle membrane protein VAT-1 homolog,VAT1,Q99536;B3KUF8;B0AZP7,7.45,6.4,2,,,,,NaN,0.000
Talin-1,TLN1,Q9Y490;Q5TCU6,7.23,2.5,5,,,,,5.53,0.000
Target of Nesh-SH3,ABI3BP,Q7Z7G0;Q7Z7G0-4;D3YTD6;B4DSV9;H0Y897;D3YTG3;Q7Z7G0-3;Q7Z7G0-2,8.39,5.8,5,,,,,4.04,0.000
TATA-binding protein-associated factor 2N;RNA-binding protein FUS,TAF15;FUS,Q92804;P35637;F5GWQ7;B4DR70;H3BPE7;P35637-2;Q92804-2,7.02,2.4,1,,,,,NaN,0.001
TBC1 domain family member 2B,TBC1D2B,Q9UPU7;Q9UPU7-2;Q9UPU7-3,8.49,2.4,2,,,,,NaN,0.009
T-complex protein 1 subunit alpha,TCP1,P17987;F5H726;F5GZI8;F5H676;F5H136;F5H282;E7EQR6;E7ERF2,NaN,4.0,2,,,,,NaN,0.000
T-complex protein 1 subunit beta,CCT2,P78371;P78371-2;F5GWF6;F8VQ14,7.16,12.5,6,,,,,NaN,0.000
T-complex protein 1 subunit delta,CCT4,P50991;F5H5W3;B7Z9L0,7.07,7.4,3,,,,,3.08,0.000
T-complex protein 1 subunit eta,CCT7,Q99832;F5GZK5;Q99832-4;Q99832-3;Q99832-2;B7Z1C9;B8ZZC9,NaN,2.2,1,,,,,3.23,0.000
T-complex protein 1 subunit gamma,CCT3,P49368;P49368-2;B4DUR8,7.35,8.1,4,,,,,3.65,0.000
T-complex protein 1 subunit theta,CCT8,P50990;G5E9B2;B4DEM7;B4DQH4,7.86,9.9,5,,,,,NaN,0.000
T-complex protein 1 subunit zeta,CCT6A,P40227;B4DPJ8;A6NCD2,7.76,12.8,5,,,,,NaN,0.000
Telomerase reverse transcriptase,TERT,O14746;O14746-3;O14746-2;Q8NG38,7.82,0.6,1,,,,,NaN,0.008
Tenascin,TNC,P24821;P24821-4;E9PC84;P24821-3;F5H7V9;P24821-5;P24821-2;P24821-6,8.43,5.2,10,,,,,4.62,0.000
Tenascin-X,TNXB,P22105;G5E9A9;B0V046;B0UYX3;E7EWZ8;E7EU03;E7EPQ1;E7EPZ9;P22105-3;H0Y3W5;H0Y6M7,8.82,6.5,18,,,,,4.85,0.000
Tetranectin,CLEC3B,E9PHK0;P05452,9.68,38.1,5,,,,,7.76,0.000
Thimet oligopeptidase,THOP1,P52888,6.63,1.3,1,,,,,3.08,0.000
Thioredoxin,TXN,P10599;B1ALW1,8.42,46.7,5,,,,,3.92,0.000
THO complex subunit 4,ALYREF,Q86V81;E9PB61,6.88,3.9,1,,,,,NaN,0.000
"Threonine--tRNA ligase, cytoplasmic;Probable threonine--tRNA ligase 2, cytoplasmic",TARS;TARSL2,P26639;E7ERI3;G3XAN9;B4DEG8;A2RTX5;B7ZLP8;A2RTX5-2,8.00,2.4,2,,,,,3.04,0.001
Thrombospondin-1,THBS1,P07996;CON__Q28194,7.89,3.7,3,,,,,5.62,0.000
Thrombospondin-4,THBS4,P35443;E7ES19,8.12,6.9,6,,,,,4.96,0.000
Thymosin beta-10,TMSB10,P63313,8.12,47.7,2,,,,,5.18,0.000
Thymosin beta-4;Hematopoietic system regulatory peptide,TMSB4X;TMSB4XP4,P62328;Q5T4B6;CON__P21752,8.05,40.9,2,,,,,6.26,0.000
Thyroxine-binding globulin,SERPINA7,P05543,10.00,41.0,15,+,+,,,6.11,0.000
Tissue alpha-L-fucosidase,FUCA1,P04066,6.15,1.5,1,,,,,3.59,0.000
