Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
B4E335,98.0,,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",9.82,Geyer Only,Low,
B4DW52,98.0,,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",9.82,Geyer Only,Low,
F5GYT4,98.0,,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",9.82,Geyer Only,Low,
P00748,99.0,,Coagulation factor XII;Coagulation factor XIIa heavy chain;Beta-factor XIIa part 1;Beta-factor XIIa part 2;Coagulation factor XIIa light chain,9.8,Geyer Only,Low,
P07225,100.0,,Vitamin K-dependent protein S,9.79,Geyer Only,Low,
G5E9F8,100.0,,Vitamin K-dependent protein S,9.79,Geyer Only,Low,
P00739,101.0,,Haptoglobin-related protein,9.79,Geyer Only,Low,
P00739-2,101.0,,Haptoglobin-related protein,9.79,Geyer Only,Low,
Q96KN2,102.0,,Beta-Ala-His dipeptidase,9.76,Geyer Only,Low,
P02746,103.0,,Complement C1q subcomponent subunit B,9.75,Geyer Only,Low,
D6R934,103.0,,Complement C1q subcomponent subunit B,9.75,Geyer Only,Low,
D6RA08,103.0,,Complement C1q subcomponent subunit B,9.75,Geyer Only,Low,
P01621,104.0,,Ig kappa chain V-III region NG9,9.7,Geyer Only,Low,
P02753,105.0,,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),9.7,Geyer Only,Low,
Q5VY30,105.0,,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),9.7,Geyer Only,Low,
A6NCP9,105.0,,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),9.7,Geyer Only,Low,
E9PHK0,106.0,,Tetranectin,9.68,Geyer Only,Low,
P05452,106.0,,Tetranectin,9.68,Geyer Only,Low,
P35542,107.0,,Serum amyloid A-4 protein,9.68,Geyer Only,Low,
P15169,108.0,,Carboxypeptidase N catalytic chain,9.67,Geyer Only,Low,
Q96PD5,109.0,,N-acetylmuramoyl-L-alanine amidase,9.67,Geyer Only,Low,
Q96PD5-2,109.0,,N-acetylmuramoyl-L-alanine amidase,9.67,Geyer Only,Low,
P07357,110.0,,Complement component C8 alpha chain,9.65,Geyer Only,Low,
P00488,111.0,,Coagulation factor XIII A chain,9.64,Geyer Only,Low,
F5H080,111.0,,Coagulation factor XIII A chain,9.64,Geyer Only,Low,
P06331,112.0,,Ig heavy chain V-II region ARH-77,9.63,Geyer Only,Low,
P02760,113.0,,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,9.63,Geyer Only,Low,
B7Z8R6,113.0,,Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin,9.63,Geyer Only,Low,
P02747,114.0,,Complement C1q subcomponent subunit C,9.61,Geyer Only,Low,
Q6P387,115.0,,Uncharacterized protein C16orf46,9.6,Geyer Only,Low,
Q6P387-2,115.0,,Uncharacterized protein C16orf46,9.6,Geyer Only,Low,
Q04756,116.0,,Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain,9.56,Geyer Only,Low,
D6RAR4,116.0,,Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain,9.56,Geyer Only,Low,
P04275,117.0,,von Willebrand factor;von Willebrand antigen 2,9.56,Geyer Only,Low,
P06310,118.0,,Ig kappa chain V-II region RPMI 6410,9.53,Geyer Only,Low,
P04406,119.0,,Glyceraldehyde-3-phosphate dehydrogenase,9.53,Geyer Only,Low,
E7EUT4,119.0,,Glyceraldehyde-3-phosphate dehydrogenase,9.53,Geyer Only,Low,
E7EUT5,119.0,,Glyceraldehyde-3-phosphate dehydrogenase,9.53,Geyer Only,Low,
P04430,120.0,,Ig kappa chain V-I region BAN,9.52,Geyer Only,Low,
P01742,121.0,,Ig heavy chain V-I region EU;Ig heavy chain V-I region SIE;Ig heavy chain V-I region Mot,9.52,Geyer Only,Low,
P01761,121.0,,Ig heavy chain V-I region EU;Ig heavy chain V-I region SIE;Ig heavy chain V-I region Mot,9.52,Geyer Only,Low,
P06326,121.0,,Ig heavy chain V-I region EU;Ig heavy chain V-I region SIE;Ig heavy chain V-I region Mot,9.52,Geyer Only,Low,
O75636,122.0,,Ficolin-3,9.52,Geyer Only,Low,
O75636-2,122.0,,Ficolin-3,9.52,Geyer Only,Low,
P01612,123.0,,Ig kappa chain V-I region Mev,9.51,Geyer Only,Low,
Q93079,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q99879,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q99877,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q5QNW6,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P58876,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
O60814,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P62807,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P57053,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
B4DR52,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q5QNW6-2,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P33778,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q99880,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q16778,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P23527,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P06899,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q8N257,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
Q96A08,124.0,,Histone H2B type 1-H;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 2-F;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B;Histone H2B type 1-B;Histone H2B type 1-L;Histone H2B type 2-E;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B;Histone H2B type 1-A,9.51,Geyer Only,Low,
P01717,125.0,,Ig lambda chain V-IV region Hil,9.51,Geyer Only,Low,
P01772,126.0,,Ig heavy chain V-III region KOL,9.49,Geyer Only,Low,
P23142,127.0,,Fibulin-1,9.49,Geyer Only,Low,
P23142-3,127.0,,Fibulin-1,9.49,Geyer Only,Low,
F8W7M9,127.0,,Fibulin-1,9.49,Geyer Only,Low,
CON__ENSEMBL:ENSBTAP00000016046,127.0,,Fibulin-1,9.49,Geyer Only,Low,
Q14520,128.0,,Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form,9.46,Geyer Only,Low,
F5H5M6,128.0,,Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form,9.46,Geyer Only,Low,
Q9UK55,129.0,,Protein Z-dependent protease inhibitor,9.45,Geyer Only,Low,
G3V2W1,129.0,,Protein Z-dependent protease inhibitor,9.45,Geyer Only,Low,
P01591,130.0,,Immunoglobulin J chain,9.44,Geyer Only,Low,
D6RHJ6,130.0,,Immunoglobulin J chain,9.44,Geyer Only,Low,
D6RD17,130.0,,Immunoglobulin J chain,9.44,Geyer Only,Low,
C9JA05,130.0,,Immunoglobulin J chain,9.44,Geyer Only,Low,
O75882,131.0,,Attractin,9.44,Geyer Only,Low,
H7BXY8,131.0,,Attractin,9.44,Geyer Only,Low,
O75882-3,131.0,,Attractin,9.44,Geyer Only,Low,
O75882-2,131.0,,Attractin,9.44,Geyer Only,Low,
P05154,132.0,,Plasma serine protease inhibitor,9.44,Geyer Only,Low,
F5H6K7,132.0,,Plasma serine protease inhibitor,9.44,Geyer Only,Low,
E9PHH2,132.0,,Plasma serine protease inhibitor,9.44,Geyer Only,Low,
G3V5Q9,132.0,,Plasma serine protease inhibitor,9.44,Geyer Only,Low,
G3V2M1,132.0,,Plasma serine protease inhibitor,9.44,Geyer Only,Low,
P01880,133.0,,Ig delta chain C region,9.42,Geyer Only,Low,
P01880-2,133.0,,Ig delta chain C region,9.42,Geyer Only,Low,
P06681,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
E9PFN7,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
B4DQI1,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
P06681-2,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
Q5ST57,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
H0Y3H6,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
E9PDZ0,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
B3KTX9,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
A2ABK0,134.0,,Complement C2;Complement C2b fragment;Complement C2a fragment,9.42,Geyer Only,Low,
Q9NZP8,135.0,,Complement C1r subcomponent-like protein,9.42,Geyer Only,Low,
E7ER29,135.0,,Complement C1r subcomponent-like protein,9.42,Geyer Only,Low,
H0YFL7,135.0,,Complement C1r subcomponent-like protein,9.42,Geyer Only,Low,
P22352,136.0,,Glutathione peroxidase 3,9.42,Geyer Only,Low,
B1AKG0,137.0,,Complement factor H-related protein 1,9.39,Geyer Only,Low,
Q03591,137.0,,Complement factor H-related protein 1,9.39,Geyer Only,Low,
O00391,138.0,,Sulfhydryl oxidase 1,9.38,Geyer Only,Low,
O00391-2,138.0,,Sulfhydryl oxidase 1,9.38,Geyer Only,Low,
P04070,139.0,,Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,9.38,Geyer Only,Low,
F5H880,139.0,,Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,9.38,Geyer Only,Low,
E7END6,139.0,,Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,9.38,Geyer Only,Low,
B4DPQ7,139.0,,Vitamin K-dependent protein C;Vitamin K-dependent protein C light chain;Vitamin K-dependent protein C heavy chain;Activation peptide,9.38,Geyer Only,Low,
P01877,140.0,,Ig alpha-2 chain C region,9.38,Geyer Only,Low,
P43251,141.0,,Biotinidase,9.37,Geyer Only,Low,
F8W1Q3,141.0,,Biotinidase,9.37,Geyer Only,Low,
B4DLJ9,141.0,,Biotinidase,9.37,Geyer Only,Low,
A6NHF2,141.0,,Biotinidase,9.37,Geyer Only,Low,
C9JSN9,141.0,,Biotinidase,9.37,Geyer Only,Low,
P02745,142.0,,Complement C1q subcomponent subunit A,9.36,Geyer Only,Low,
P22792,143.0,,Carboxypeptidase N subunit 2,9.35,Geyer Only,Low,
Q08380,144.0,,Galectin-3-binding protein,9.35,Geyer Only,Low,
B4DVE1,144.0,,Galectin-3-binding protein,9.35,Geyer Only,Low,
B4DI70,144.0,,Galectin-3-binding protein,9.35,Geyer Only,Low,
P18428,145.0,,Lipopolysaccharide-binding protein,9.35,Geyer Only,Low,
Q8TCF0,145.0,,Lipopolysaccharide-binding protein,9.35,Geyer Only,Low,
P18135,146.0,,Ig kappa chain V-III region HAH;Ig kappa chain V-III region HIC,9.35,Geyer Only,Low,
P18136,146.0,,Ig kappa chain V-III region HAH;Ig kappa chain V-III region HIC,9.35,Geyer Only,Low,
P07360,147.0,,Complement component C8 gamma chain,9.34,Geyer Only,Low,
Q5SQ08,147.0,,Complement component C8 gamma chain,9.34,Geyer Only,Low,
P33151,148.0,,Cadherin-5,9.32,Geyer Only,Low,
I3L1J2,148.0,,Cadherin-5,9.32,Geyer Only,Low,
E7EPJ8,148.0,,Cadherin-5,9.32,Geyer Only,Low,
F5H6D9,148.0,,Cadherin-5,9.32,Geyer Only,Low,
P01781,149.0,,Ig heavy chain V-III region GAL,9.31,Geyer Only,Low,
Q96IY4,150.0,,Carboxypeptidase B2,9.31,Geyer Only,Low,
Q96IY4-2,150.0,,Carboxypeptidase B2,9.31,Geyer Only,Low,
P01611,151.0,,Ig kappa chain V-I region Wes,9.3,Geyer Only,Low,
P06276,152.0,,Cholinesterase,9.3,Geyer Only,Low,
F8WF14,152.0,,Cholinesterase,9.3,Geyer Only,Low,
F8WEX7,152.0,,Cholinesterase,9.3,Geyer Only,Low,
P55058,153.0,,Phospholipid transfer protein,9.29,Geyer Only,Low,
B3KUE5,153.0,,Phospholipid transfer protein,9.29,Geyer Only,Low,
E7EV16,153.0,,Phospholipid transfer protein,9.29,Geyer Only,Low,
P55058-2,153.0,,Phospholipid transfer protein,9.29,Geyer Only,Low,
Q15582,154.0,,Transforming growth factor-beta-induced protein ig-h3,9.26,Geyer Only,Low,
G8JLA8,154.0,,Transforming growth factor-beta-induced protein ig-h3,9.26,Geyer Only,Low,
B9ZVW9,154.0,,Transforming growth factor-beta-induced protein ig-h3,9.26,Geyer Only,Low,
H0Y8L3,154.0,,Transforming growth factor-beta-induced protein ig-h3,9.26,Geyer Only,Low,
P23083,155.0,,Ig heavy chain V-I region V35,9.22,Geyer Only,Low,
P08238,156.0,,Heat shock protein HSP 90-beta,9.22,Geyer Only,Low,
P06733-2,157.0,,Alpha-enolase,9.21,Geyer Only,Low,
Q92954-6,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
Q92954,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
Q92954-4,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
Q92954-3,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
Q92954-2,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
Q92954-5,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
E7EQ48,158.0,,Proteoglycan 4;Proteoglycan 4 C-terminal part,9.21,Geyer Only,Low,
P01699,159.0,,Ig lambda chain V-I region VOR,9.21,Geyer Only,Low,
P00746,160.0,,Complement factor D,9.19,Geyer Only,Low,
P13796,161.0,,Plastin-2,9.19,Geyer Only,Low,
P03951,162.0,,Coagulation factor XI;Coagulation factor XIa heavy chain;Coagulation factor XIa light chain,9.17,Geyer Only,Low,
E9PGP2,162.0,,Coagulation factor XI;Coagulation factor XIa heavy chain;Coagulation factor XIa light chain,9.17,Geyer Only,Low,
P03951-2,162.0,,Coagulation factor XI;Coagulation factor XIa heavy chain;Coagulation factor XIa light chain,9.17,Geyer Only,Low,
C9JPQ9,163.0,,,9.17,Geyer Only,Low,
C9JU00,163.0,,,9.17,Geyer Only,Low,
P01615,165.0,,Ig kappa chain V-II region FR,9.15,Geyer Only,Low,
P11142,166.0,,Heat shock cognate 71 kDa protein,9.14,Geyer Only,Low,
E9PKE3,166.0,,Heat shock cognate 71 kDa protein,9.14,Geyer Only,Low,
P11142-2,166.0,,Heat shock cognate 71 kDa protein,9.14,Geyer Only,Low,
E9PNE6,166.0,,Heat shock cognate 71 kDa protein,9.14,Geyer Only,Low,
E9PN89,166.0,,Heat shock cognate 71 kDa protein,9.14,Geyer Only,Low,
P05160,167.0,,Coagulation factor XIII B chain,9.13,Geyer Only,Low,
P01719,168.0,,Ig lambda chain V-V region DEL;Ig lambda chain V-VII region MOT,9.13,Geyer Only,Low,
P01720,168.0,,Ig lambda chain V-V region DEL;Ig lambda chain V-VII region MOT,9.13,Geyer Only,Low,
P68431,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
P84243,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
Q71DI3,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
Q16695,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
Q6NXT2,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
Q5TEC6,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
B4DEB1,169.0,,Histone H3.1;Histone H3.3;Histone H3.2;Histone H3.1t;Histone H3.3C;Histone H3,9.12,Geyer Only,Low,
Q15848,170.0,,Adiponectin,9.12,Geyer Only,Low,
Q16610,171.0,,Extracellular matrix protein 1,9.12,Geyer Only,Low,
Q16610-4,171.0,,Extracellular matrix protein 1,9.12,Geyer Only,Low,
P68363,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
Q9BQE3,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
F5H5D3,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
Q71U36,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
G3V1U9,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
P68366,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
E9PGK3,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
A8MUB1,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
Q13748,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
F8VVB9,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
Q6PEY2,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
Q13748-2,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
F8VQQ4,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
F8VXZ4,172.0,,Tubulin alpha-1B chain;Tubulin alpha-1C chain;Tubulin alpha-1A chain;Tubulin alpha-4A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,9.11,Geyer Only,Low,
Q15166,173.0,,Serum paraoxonase/lactonase 3,9.1,Geyer Only,Low,
F8WD41,173.0,,Serum paraoxonase/lactonase 3,9.1,Geyer Only,Low,
C9JZ99,173.0,,Serum paraoxonase/lactonase 3,9.1,Geyer Only,Low,
P00742,174.0,,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,9.09,Geyer Only,Low,
P14151,175.0,,L-selectin,9.07,Geyer Only,Low,
P14151-2,175.0,,L-selectin,9.07,Geyer Only,Low,
P01604,176.0,,Ig kappa chain V-I region Kue,9.07,Geyer Only,Low,
P04207,177.0,,Ig kappa chain V-III region CLL,9.07,Geyer Only,Low,
H7C1X1,177.0,,Ig kappa chain V-III region CLL,9.07,Geyer Only,Low,
P04180,178.0,,Phosphatidylcholine-sterol acyltransferase,9.07,Geyer Only,Low,
P29401,179.0,,Transketolase,9.07,Geyer Only,Low,
E7EPA7,179.0,,Transketolase,9.07,Geyer Only,Low,
B3KSI4,179.0,,Transketolase,9.07,Geyer Only,Low,
